name,description
Cheez-it Cracker box,"red,has letters,rectangular,box"
Domino Sugar box,"yellow,white,some blue,rectangular,box"
Jell-O Chocolate Pudding box,"brown,has letters,rectangular,box"
Jell-O Strawberry Gelatin box,"red,has letters,rectangular,box"
Spam Potted Meat can,"blue,gold,has letters,rectangular"
Master Chef Coffee can,"blue,has letters,cylinder"
Starkist Tuna Fish can,"blue,has letters,cylinder"
Pringles Chips can,"red,has letters,cylinder"
French's Mustard bottle,"yellow,has letters,bottle"
Tomato Soup can,"red,has letters,cylinder"
Plastic banana,"yellow,curved"
Plastic strawberry,"red,round"
Plastic apple,"red,round"
Plastic lemon,"yellow,round"
Plastic peach,"orange,red,round"
Plastic pear,green
Plastic orange,"orange,round"
Plastic plum,"purple,round"
Windex Spray bottle,"blue,bottle,has letters"
Srub Cleanser bottle,"white,bottle,has letters"
Scotch Brite Dobie sponge,"beige,flat"
Pitcher Base,"blue,cylinder"
Pitcher Lid,blue
Plate,"red,round"
Bowl,"red,round,has rim"
Fork,"red,metal,long"
Spoon,"red,metal,long"
Knife,"red,metal,long"
Spatula,"black,long"
Wine glass,"glass,has rim"
Mug,"red,has rim,cylinder"
Skillet,"white,has rim"
Skillet Lid,"glass,round"
Table Cloth,white
Scissors,"grey,metal,long"
Large marker,"black,white,long"
Small marker,"black,white,long"
Padlock & Keys,metal
Hammer,"wood,metal,long"
Nails,"metal,long"
Bolt & nut,metal
Phillips Screwdriver,"grey,blue,black,metal,long"
Flat Screwdriver,"red,grey,black,metal,long"
Adjustable Wrench,"metal,long"
Wood block,"wood,rectangular,box"
Clamps,black
Power Drill,"black,orange"
Credit Card blank,"white,flat,rectangle"
Mini soccer ball,"round,white,green"
Soft Ball,"round,green"
Baseball,"round,white"
Tennis Ball,"round,green"
Racquetball,"round,blue"
Golf Ball,"round,white"
Marbles,
Cups,
Foam Brick,
Dice,"white,box"
Washers( 7 sizes),"metal,round,flat"
Rope,
Chain,
Rubicks Cube,"square,box,red,yellow,green"
Clear Box( x2),
Box Lid,
Colored Wood Blocks,
9-Peg-Hole Test,
Toy Airplane,
LEGO Duplo,
Magazine,
Black t-shirt,black
Timer,
Footlocker,"grey,box"
