name,description
door,"in the foyer. It is 8 ft high, 3 ft wide, at eye level."
dresser,"in the bedroom, next to the bed. It is 2 ft high, 3 ft wide, at knee level."
curtain,"in the bedroom, by the sliding door. It is 8 ft high, at eye level."
picture,"in the bedroom, on the wall. It is 2 ft tall, 3 ft wide, at eye level."
vanity mirror,"in the bedroom, over the vanity table. It is 5 ft high, 4 ft wide, at eye level."
bed,"in the bedroom, against the wall. It is 2 ft high, 6 ft long, at knee level."
bed,"in the bedroom, next to the bedside table. It is 2 ft high, 6 ft long, at knee level."
bed,"in the bedroom, next to the dresser. It is 2 ft high, 6 ft long, at knee level."
vanity chair,"in the bedroom, by the vanity. It is 3 ft high, 2 ft wide, at knee level."
vanity chair,"in the bedroom, by the flowers. It is 3 ft high, 2 ft wide, at knee level."
vanity chair,"in the bedroom, by the vanity table. It is 3 ft high, 2 ft wide, at knee level."
curtain,"in the bedroom, by the sliding door. It is 8 ft high, at eye level."
mirror,"in the bedroom, on the dresser. It is 1 ft tall, at waist level."
vanity table,"in the bedroom, by the vanity. It is 3 ft high, 2 ft wide, at waist level."
vanity table,"in the bedroom, by the vanity chair. It is 3 ft high, 2 ft wide, at waist level."
shower,"in the bathroom, against the wall. It is 8 ft high, 4 ft wide, at eye level."
door,"in the bathroom. It is 8 ft high, 3 ft wide, at eye level."
towel,"in the bathroom, over the bathtub. It is 1 ft wide, at eye level."
towel,"in the bathroom, over the bathtub. It is 1 ft wide, at eye level."
towel,"in the bathroom, over the bathtub. It is 1 ft wide, at eye level."
towel,"in the bathroom, on the wall. It is 1 ft wide, at eye level."
towel,"in the bathroom, by the door. It is 1 ft wide, at eye level."
toilet,"in the bathroom, against the wall. It is 1 ft wide, at knee level."
towel,"in the bathroom, on the wall. It is 1 ft wide, at eye level."
towel,"in the bathroom, by the door. It is 1 ft wide, at eye level."
Sliding door,"in the bedroom. It is 8 ft high, 6 ft wide, at eye level."
Sliding door,"in the bedroom. It is 8 ft high, 6 ft wide, at eye level."
Sliding door,"in the living room. It is 8 ft high, 6 ft wide, at eye level."
Sliding door,"in the living room. It is 8 ft high, 6 ft wide, at eye level."
curtain,"in the living room, by the sliding door. It is 8 ft high, at eye level."
Sliding door,"in the living room. It is 8 ft high, 6 ft wide, at eye level."
sofa,"in the living room, next to the coffee table. It is 3 ft high, 5 ft wide, at knee level."
sofa,"in the living room, against the wall. It is 3 ft high, 5 ft wide, at knee level."
sofa,"in the living room, under the picture. It is 3 ft high, 5 ft wide, at knee level."
picture,"in the living room, on the wall. It is 2 ft tall, 3 ft wide, at eye level."
picture,"in the living room, over the couch. It is 2 ft tall, 3 ft wide, at eye level."
cushion,"in the living room, on the couch. It is 1 ft wide, at knee level."
End table,"in the living room, next to the couch. It is 2 ft high, 1 ft wide, at knee level."
Coffee table,"in the living room, in front of the couch. It is 2 ft high, 3 ft wide, at knee level."
armchair,"in the living room, by the coffee table. It is 3 ft high, at waist level."
cushion,"in the living room, on the couch. It is 1 ft wide, at knee level."
mirror,"in the kitchen, over the sink. It is 3 ft high, 3 ft wide, at eye level."
mirror,"in the kitchen, on the wall. It is 3 ft high, 3 ft wide, at eye level."
desk,"in the living room, against the wall. It is 3 ft tall, 4 ft wide, at waist level."
cabinet,"in the living room, against the wall. It is floor to ceiling, 3 ft wide, at eye level."
tv,"in the living room, in the cabinet. It is 2 ft high, 3 ft wide, at waist level."
desk chair,"in the living room, in front of the desk. It is 3 ft tall, 2 ft wide, at waist level."
sofa,"in the living room, under the picture. It is 3 ft high, at knee level."
kitchen cabinet,"in the kitchen, under the kitchen counter. It is 3 ft high, 4 ft wide, at knee level."
kitchen counter,"in the kitchen, above the kitchen cabinets. It is 3 ft high, 4 ft wide, at waist height."
kitchen counter,"in the kitchen, against the wall. It is 3 ft high, 4 ft wide, at waist height."
kitchen sink,"in the kitchen, on the kitchen counter. It is 2 ft wide, at waist height."
kitchen cabinet,"in the kitchen, under the kitchen counter. It is 3 ft high, 4 ft wide, at knee level."
